seed,unit_group,preferred_minus_away_H1_longest,preferred_minus_away_peak_betti,preferred_H1_longest,away_H1_longest
0,left_pref,-0.07367628812789917,0.0,0.32507383823394775,0.3987501263618469
0,right_pref,0.13022750616073608,0.0,0.4010773301124573,0.2708498239517212
1,left_pref,0.0040280818939208984,-1.0,0.5956941843032837,0.5916661024093628
1,right_pref,,,,
2,left_pref,0.08008027076721191,0.0,0.24614357948303223,0.1660633087158203
2,right_pref,-0.015035390853881836,-1.0,0.7966329157352448,0.8116683065891266
3,left_pref,-0.09252411127090454,0.0,0.3310169577598572,0.4235410690307617
3,right_pref,0.03648737072944641,-1.0,0.7030986249446869,0.6666112542152405
4,left_pref,-0.002699345350265503,0.0,0.49203264713287354,0.49473199248313904
4,right_pref,0.036081790924072266,-1.0,0.5156801342964172,0.47959834337234497
